dataset,annotation,bootstrap_estimate,bootstrap_error,bt_value,bp_value,bias_corrected_estimate,CI_lo,CI_hi,annotation.y,Class,Description,NCells,Neurotransmitter,Probable_location,Region,LeafOrder,TaxonomyRank1,TaxonomyRank2,TaxonomyRank3,TaxonomyRank4,Comment,TaxonomyRank4_reduced1,tax_order_idx_mb_fig1c,Neurotransmitter_class,Neurotransmitter_class_linnarson,nt.Acetylcholine,nt.Adrenaline,nt.Dopamine,nt.GABA,nt.GLYT1,nt.GLYT2,nt.Missing,nt.Nitric oxide,nt.Noradrenaline,nt.Serotonin,nt.VGLUT1,nt.VGLUT2,nt.VGLUT3,name_clean,category,fdr_significant
tabula_muris.sem_mean,Heart.smooth_muscle_cell,9.231926668540687e-7,1.3492471931684079e-6,0.6842279691434121,0.246915611716601,9.25933732907831e-7,-1.5089204314746309e-6,3.4139258225503e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heart.smooth_muscle_cell,dummy_category,FALSE
mousebrain_all.sem_mean,HBSER3,1.2150090698272583e-6,1.8160015643642507e-6,0.6690572814856638,0.25172946936702256,1.3390150795372457e-6,-1.995867582408479e-6,4.799208141162594e-6,HBSER3,Neurons,"Serotonergic neurons, hindbrain",87,Serotonin,"Ventral midbrain, rostral pons",Pons,80,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Cholinergic and monoaminergic neurons,nan,Cholinergic and monoaminergic neurons,18,Monoamines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,HBSER3,Neurons,FALSE
mousebrain_all.sem_mean,TEINH16,4.911305703836774e-7,8.041889473761462e-7,0.6107153946670187,0.2706940062810662,6.125148034835726e-7,-1.0390851550300307e-6,2.152195868858075e-6,TEINH16,Neurons,"Ivy and MGE-derived neurogliaform cells, cortex/hippocampus",644,"GABA, Nitric oxide","Hippocampus,Cortex","Hippocampus,Cortex",53,Neurons,CNS neurons,Telencephalon interneurons,Telencephalon inhibitory interneurons,nan,Telencephalon inhibitory interneurons,19,Inhibitory,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,TEINH16,Neurons,FALSE
mousebrain_all.sem_mean,TEINH8,7.212224434358365e-7,1.2016071255773099e-6,0.6002148523289811,0.2741815282830676,7.620476547337678e-7,-1.6762534363355333e-6,2.973661037075837e-6,TEINH8,Neurons,"Interneuron-selective interneurons, hippocampus",57,GABA,Hippocampus,Hippocampus,64,Neurons,CNS neurons,Telencephalon interneurons,Telencephalon inhibitory interneurons,nan,Telencephalon inhibitory interneurons,19,Inhibitory,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEINH8,Neurons,FALSE
mousebrain_all.sem_mean,MEINH14,1.086641339428865e-6,1.8569130403178826e-6,0.5851869828233014,0.27921099831935847,1.2056579146829641e-6,-2.448284961968586e-6,4.183390072564396e-6,MEINH14,Neurons,"Inhibitory neurons, midbrain",21,GABA,"Midbrain reticular nucleus, Darkschewitz nucleus,",Midbrain ventral,90,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,MEINH14,Neurons,FALSE
mousebrain_all.sem_mean,HBCHO3,8.303006426930412e-7,1.4875042716937478e-6,0.5581837030609793,0.28835947406154183,7.955521736918522e-7,-2.0275515806026355e-6,3.6271566618995774e-6,HBCHO3,Neurons,Afferent nuclei of cranial nerves VI-XII,72,"Acetylcholine, Nitric oxide",Afferent nuclei of cranial nerves VI-XII,Medulla,70,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Cholinergic and monoaminergic neurons,nan,Cholinergic and monoaminergic neurons,18,Acetylcholine,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,HBCHO3,Neurons,FALSE
mousebrain_all.sem_mean,TEGLU21,5.967585024019137e-7,1.116621286385459e-6,0.5344323179917528,0.29652123219302995,5.421970113660732e-7,-1.4885728148049234e-6,2.7731800790670764e-6,TEGLU21,Neurons,"Excitatory neurons, hippocampus CA1",104,"Glutamate (VGLUT1), Nitric oxide","CA1 (posterior),subiculum,entorhinal",Hippocampus,21,Neurons,CNS neurons,Telencephalon projecting neurons,Telencephalon projecting excitatory neurons,nan,Telencephalon projecting excitatory neurons,24,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,TEGLU21,Neurons,FALSE
mousebrain_all.sem_mean,DEINH4,4.802872855589081e-7,9.335883565043628e-7,0.5144529515741274,0.30346767312570355,5.035735490998758e-7,-1.14781195685749e-6,2.2564200017858612e-6,DEINH4,Neurons,"Inhibitory neurons, thalamus",57,"GABA, Nitric oxide",Paraventricular nucleus of the thalamus (best fit) but do not fit with Nmu expression,Thalamus,85,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,DEINH4,Neurons,FALSE
mousebrain_all.sem_mean,PSPEP8,6.191810405200314e-7,1.2715769159915322e-06,0.48693951009421654,0.31315059925405186,6.214284564954255e-7,-1.933955777486921e-6,3.067472210351123e-6,PSPEP8,Neurons,"Peptidergic (TrpM8), DRG",28,Glutamate (VGLUT2),Dorsal root ganglion,Dorsal root ganglion,198,Neurons,PNS neurons,Peripheral sensory neurons,Peripheral sensory peptidergic neurons,nan,Peripheral sensory neurons,8,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,PSPEP8,Neurons,FALSE
mousebrain_all.sem_mean,TEGLU11,3.347602686927377e-7,7.050874496394501e-7,0.47477836807890855,0.31747247650912636,3.7710345744999753e-7,-9.141785767629345e-7,1.6437585268049517e-6,TEGLU11,Neurons,"Excitatory neurons, cerebral cortex",1464,Glutamate (VGLUT1),Cortical pyramidal (poor markers),Cortex,5,Neurons,CNS neurons,Telencephalon projecting neurons,Telencephalon projecting excitatory neurons,nan,Telencephalon projecting excitatory neurons,24,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,TEGLU11,Neurons,FALSE
mousebrain_all.sem_mean,CBGRC,5.602033894274237e-7,1.20167576007522e-6,0.4661851458103451,0.3205414904357693,6.922099787825857e-7,-1.7963727426217017e-6,2.8077233473042927e-6,CBGRC,Neurons,"Granule neurons, cerebellum",4193,Glutamate (VGLUT1),Cerebellum,Cerebellum,176,Neurons,CNS neurons,Cerebellum neurons,Cerebellum neurons,Almost half are clearly Calb2-negative,Hindbrain neurons,12,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,CBGRC,Neurons,FALSE
mousebrain_all.sem_mean,DEINH8,7.088505785151757e-7,1.5777637018994534e-6,0.44927550156072027,0.32661646407028555,6.269963908002503e-7,-2.7830904753836004e-6,3.532515995056203e-6,DEINH8,Neurons,"Inhibitory neurons, hypothalamus",120,GABA,"Suprachiasmatic nucleus, Medial preoptic nucleus",Hypothalamus,92,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEINH8,Neurons,FALSE
mousebrain_all.sem_mean,HYPEP3,5.203575146945194e-7,1.2466064877088223e-6,0.417419225573662,0.33818589743681904,6.629338575095259e-7,-1.9593942280896445e-6,2.8362639310963695e-6,HYPEP3,Neurons,"Peptidergic neurons, hypothalamus",152,"Glutamate (VGLUT2), Nitric oxide",Ventromedial hypothalamic nucleus,Hypothalamus,87,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,should be split to Th/GABA and Glut,Peptidergic neurons,17,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,HYPEP3,Neurons,FALSE
mousebrain_all.sem_mean,OBINH2,3.8092991928058383e-7,9.281067474332252e-7,0.41043761435210413,0.3407424792564191,2.834487853363528e-7,-1.360249191464695e-6,2.1725440347664287e-6,OBINH2,Neurons,"Inner horizontal cell, olfactory bulb",1800,GABA,"Olfactory bulb, mitral cell layer",Olfactory bulb,40,Neurons,CNS neurons,Telencephalon interneurons,Olfactory inhibitory neurons,nan,Olfactory inhibitory neurons,20,Inhibitory,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,OBINH2,Neurons,FALSE
mousebrain_all.sem_mean,SCGLU5,5.400458956985618e-7,1.3290053732152396e-6,0.4063534328623805,0.3422414650987975,5.237749941636504e-7,-2.062679197980785e-6,2.7704993120623264e-6,SCGLU5,Neurons,"Excitatory neurons, spinal cord",252,Glutamate (VGLUT2),"Dorsal horn, lamina 2-3",Spinal cord,112,Neurons,CNS neurons,Spinal cord neurons,Spinal cord excitatory neurons,"correspond to Glut5,6,7 in C1 data. Mylk is Glut6 and Nmu (high) is Glut6-7.",Spinal cord excitatory neurons,15,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,SCGLU5,Neurons,FALSE
mousebrain_all.sem_mean,TEINH1,4.1854143630971056e-07,1.1127982625462558e-6,0.37611618421475834,0.35341526148074764,4.2000426234985436e-7,-1.722416438415686e-6,2.6484792507618422e-6,TEINH1,Neurons,"Inhibitory neurons, pallidum",576,GABA,Medial septal nucleus and Magnocellular nucleus,Pallidum,153,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon inhibitory neurons,nan,Di- and mesencephalon inhibitory neurons,13,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEINH1,Neurons,FALSE
mousebrain_all.sem_mean,ENT8,3.788341671478774e-7,1.0921397378561633e-6,0.3468733478112583,0.3643432351556002,5.448019182618698e-7,-1.7457731731278828e-6,2.5370949508327006e-6,ENT8,Neurons,"Cholinergic enteric neurons, VGLUT2",97,"Glutamate (VGLUT2),Acetylcholine",Myenteric plexus of small intestine,Enteric nervous system,189,Neurons,PNS neurons,Enteric neurons,Enteric neurons,Marklund cluster #3,Enteric neurons,10,Excitatory,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ENT8,Neurons,FALSE
mousebrain_all.sem_mean,MEINH1,4.4494049789520876e-7,1.3595721349498536e-6,0.3272650905805891,0.3717336968043448,6.729837811100405e-7,-2.1847384088470584e-6,3.0842735324011484e-6,MEINH1,Neurons,"Inhibitory neurons, midbrain",43,"GABA, Nitric oxide","VTA, Substantia nigra, central nucleus raphe",Midbrain ventral,173,Neurons,CNS neurons,Cerebellum neurons,Cerebellum neurons,nan,Hindbrain neurons,12,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,MEINH1,Neurons,FALSE
mousebrain_all.sem_mean,HBGLU8,3.8029587763274527e-7,1.197127452058471e-6,0.31767367541260805,0.3753662407918872,4.0910251033581254e-7,-2.1508144404932286e-6,2.560859931517571e-6,HBGLU8,Neurons,"Excitatory neurons, hindbrain",11,"Glutamate (VGLUT1,VGLUT2), Nitric oxide",Tegmental reticular nucleus,Pons,167,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,merge with 10,Hindbrain neurons,12,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,HBGLU8,Neurons,FALSE
mousebrain_all.sem_mean,TEGLU20,3.7257047305093784e-7,1.2331280451344706e-6,0.3021344575861217,0.381274782892529,5.508282127404353e-7,-2.0577113636485054e-6,2.7908783656381623e-6,TEGLU20,Neurons,"Excitatory neurons, cerebral cortex",55,Glutamate (VGLUT1),Cortex pyramidal layer 6,Cortex,4,Neurons,CNS neurons,Telencephalon projecting neurons,Telencephalon projecting excitatory neurons,nan,Telencephalon projecting excitatory neurons,24,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,TEGLU20,Neurons,FALSE
mousebrain_all.sem_mean,CBINH2,3.6480017135010193e-7,1.3276070295406677e-6,0.2747802348382543,0.3917425420548216,3.984295138189823e-7,-2.187820706359283e-6,2.882989382006649e-6,CBINH2,Neurons,"Granular layer interneurons, cerebellum",17,"GABA, Glycine (GLYT2)","Cerebellum, granular layer",Cerebellum,172,Neurons,CNS neurons,Cerebellum neurons,Cerebellum neurons,nan,Hindbrain neurons,12,Inhibitory,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,CBINH2,Neurons,FALSE
mousebrain_all.sem_mean,HBSER2,3.292242765199794e-7,1.295798460536289e-6,0.25407058778548336,0.399720512746653,4.142372041451066e-7,-2.1925448326754077e-6,3.051737056889542e-6,HBSER2,Neurons,"Serotonergic neurons, hindbrain",109,"Serotonin, Glutamate (VGLUT3)","Nucleus raphe Pons (B5, B6)",Pons,79,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Cholinergic and monoaminergic neurons,nan,Cholinergic and monoaminergic neurons,18,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,HBSER2,Neurons,FALSE
mousebrain_all.sem_mean,HYPEP2,3.2849243453982573e-7,1.307390773189967e-6,0.25125803338685104,0.4008073095317096,6.157936767053125e-7,-2.210736588709574e-6,2.7435664149253223e-6,HYPEP2,Neurons,"Peptidergic neurons, hypothalamus",43,Nitric oxide,Paraventricular hypothalamic nucleus,Hypothalamus,89,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Nitric oxide,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,HYPEP2,Neurons,FALSE
mousebrain_all.sem_mean,MEGLU9,2.0915534538585758e-7,9.709381388555375e-7,0.2154157273422103,0.41472160459065066,3.9546549655306757e-7,-1.5900884403640012e-6,2.0559901754923514e-6,MEGLU9,Neurons,"Excitatory neurons, midbrain",243,"Glutamate (VGLUT1), Nitric oxide",Mantle of inferior colliculus,Midbrain dorsal,127,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,MEGLU9,Neurons,FALSE
mousebrain_all.sem_mean,NFOL1,1.8136380481269885e-7,8.480743774981962e-7,0.21385365437842696,0.41533059126460786,2.635320617661868e-7,-1.4765675131525392e-6,1.8310842154521878e-06,NFOL1,Oligos,Newly formed oligodendrocytes (NFOL),1612,NA,CNS,CNS,218,Glia,CNS glia,Oligodendrocytes,Oligodendrocytes,nan,Oligodendrocytes,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NFOL1,Oligos,FALSE
tabula_muris.sem_mean,Marrow.basophil,3.9252634642510764e-7,1.9721702775685853e-6,0.19903268540738717,0.42111858839824345,3.173925906976982e-7,-3.251385280552096e-6,3.7597525484586313e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marrow.basophil,dummy_category,FALSE
mousebrain_all.sem_mean,TEGLU13,1.46556268468637e-7,9.335168262363696e-7,0.1569937084685482,0.4376249032658238,1.2637099243830618e-7,-1.6525247897581412e-6,1.9268897875398006e-6,TEGLU13,Neurons,"Excitatory neurons, cerebral cortex",127,"Glutamate (VGLUT1,VGLUT2), Nitric oxide",Subiculum,Cortex,12,Neurons,CNS neurons,Telencephalon projecting neurons,Telencephalon projecting excitatory neurons,nan,Telencephalon projecting excitatory neurons,24,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,TEGLU13,Neurons,FALSE
mousebrain_all.sem_mean,MEINH11,3.093946069262494e-7,2.1999805044797808e-6,0.14063515849173877,0.44407908589896444,2.658901551502341e-7,-4.4405614107855035e-6,4.339219952822715e-6,MEINH11,Neurons,"Inhibitory neurons, midbrain",101,"GABA, Nitric oxide",Superior colliculus superficial gray layer,Midbrain dorsal,142,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon inhibitory neurons,nan,Di- and mesencephalon inhibitory neurons,13,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,MEINH11,Neurons,FALSE
mousebrain_all.sem_mean,TEGLU19,1.2314503395366187e-7,1.028110210778386e-6,0.11977804778383469,0.45232948603021245,1.520017630002102e-7,-1.8877982520431978e-6,2.0622507524078127e-6,TEGLU19,Neurons,"Excitatory neurons, cerebral cortex",89,Glutamate (VGLUT1),Anterior olfactory nucleus and ventral striatum,Cortex,19,Neurons,CNS neurons,Telencephalon projecting neurons,Telencephalon projecting excitatory neurons,nan,Telencephalon projecting excitatory neurons,24,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,TEGLU19,Neurons,FALSE
mousebrain_all.sem_mean,HBCHO4,1.7877461554786482e-7,1.695780703283514e-6,0.10542319251640633,0.4580200068196133,3.078258113704295e-7,-3.1786632914364766e-6,3.2865909938320403e-6,HBCHO4,Neurons,Afferent nuclei of cranial nerves III-V,52,"Acetylcholine, Nitric oxide",Afferent nuclei of cranial nerves III-V,Pons,69,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Cholinergic and monoaminergic neurons,nan,Cholinergic and monoaminergic neurons,18,Acetylcholine,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,HBCHO4,Neurons,FALSE
mousebrain_all.sem_mean,DGNBL1,9.606223385826275e-8,9.88686616176929e-7,0.09716145873372688,0.461299087330046,7.444350763851907e-8,-1.8262948728850438e-6,2.0151733698779387e-6,DGNBL1,Neurons,"Granule neuroblasts, dentate gyrus",159,NA,Dentate gyrus,Dentate gyrus,35,Neurons,CNS neurons,Immature neural,Non-glutamatergic neuroblasts,nan,Neuroblasts,21,Undefined class,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,DGNBL1,Neurons,FALSE
tabula_muris.sem_mean,Pancreas.pancreatic_A_cell,7.115652517980431e-8,8.202561425295189e-7,0.08674915247860343,0.4654354528102288,2.6527392684586006e-8,-1.5412022633364983e-6,1.6613087608938886e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pancreas.pancreatic_A_cell,dummy_category,FALSE
mousebrain_all.sem_mean,MEINH6,1.0822537744033156e-7,1.2565249529597343e-6,0.08613070292428937,0.46568125845151814,2.3417515675904954e-7,-2.385482825162955e-6,2.415561861709014e-6,MEINH6,Neurons,"Inhibitory neurons, midbrain",47,GABA,Superior colliculus,Midbrain dorsal,146,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon inhibitory neurons,nan,Di- and mesencephalon inhibitory neurons,13,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,MEINH6,Neurons,FALSE
mousebrain_all.sem_mean,MEINH10,6.774440703604302e-8,1.2079838922849158e-6,0.0560805549384468,0.4776388172339372,1.1762780613282491e-7,-1.998345567693704e-6,2.4506757386731582e-6,MEINH10,Neurons,"Inhibitory neurons, midbrain",792,"GABA, Nitric oxide",Superior colliculus superficial grey layer,Midbrain dorsal,143,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon inhibitory neurons,nan,Di- and mesencephalon inhibitory neurons,13,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,MEINH10,Neurons,FALSE
tabula_muris.sem_mean,Pancreas.pancreatic_PP_cell,-7.233558032413312e-8,1.1176011954213628e-6,-0.06472396470268704,0.5258031091239431,-1.0395223587031847e-7,-2.256009765083773e-6,1.969232512309923e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pancreas.pancreatic_PP_cell,dummy_category,FALSE
tabula_muris.sem_mean,Marrow.granulocytopoietic_cell,-7.560019290385692e-8,9.688605548906276e-7,-0.07803000392805881,0.531097906967627,-1.7865491539592365e-7,-1.9355623516701065e-6,1.6566070355477637e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marrow.granulocytopoietic_cell,dummy_category,FALSE
mousebrain_all.sem_mean,TEGLU2,-8.784406204690836e-8,1.03205842189495e-6,-0.08511539674819855,0.5339151750541017,2.4915571423703326e-8,-2.1149713816643698e-6,1.8299474287019033e-6,TEGLU2,Neurons,"Excitatory neurons, cerebral cortex",274,Glutamate (VGLUT1),Cortex pyramidal layer 6b,Cortex,3,Neurons,CNS neurons,Telencephalon projecting neurons,Telencephalon projecting excitatory neurons,nan,Telencephalon projecting excitatory neurons,24,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,TEGLU2,Neurons,FALSE
mousebrain_all.sem_mean,HBSER1,-1.559901267456641e-7,1.5525112705101724e-6,-0.10047600278895498,0.5400167832925984,-6.211714976641715e-8,-3.156204549082351e-6,3.023901195329183e-6,HBSER1,Neurons,"Serotonergic neurons, hindbrain",105,"Serotonin, Glutamate (VGLUT3)","Ventral midbrain/isthmic dorsal raphe (B7), caudal linear nucleus (B8), medial lemniscus (B9), isthmic periaqueductal grey (B4?)",Pons,78,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Cholinergic and monoaminergic neurons,nan,Cholinergic and monoaminergic neurons,18,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,HBSER1,Neurons,FALSE
mousebrain_all.sem_mean,OBDOP1,-1.0996063003115624e-7,1.0439118148472034e-6,-0.10533517148405021,0.5419450723025052,-2.3649082523781223e-7,-2.3048775873084266e-6,1.8298049542972774e-6,OBDOP1,Neurons,"Dopaminergic periglomerular interneuron, olfactory bulb",371,"GABA,Dopamine","Olfactory bulb, periglomerular layer",Olfactory bulb,45,Neurons,CNS neurons,Telencephalon interneurons,Olfactory inhibitory neurons,http://www.sciencedirect.com/science/article/pii/0306452295005676,Olfactory inhibitory neurons,20,Inhibitory,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,OBDOP1,Neurons,FALSE
mousebrain_all.sem_mean,SCINH11,-1.3281480479218224e-7,1.130590151427536e-6,-0.11747387382110488,0.546757726826962,-1.6776641867985678e-7,-2.31743997545487e-6,1.957618905542903e-6,SCINH11,Neurons,"Central canal neurons, spinal cord",50,GABA,Spinal Cord central canal,Spinal cord,97,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Inhibitory,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SCINH11,Neurons,FALSE
mousebrain_all.sem_mean,SCGLU6,-1.9256428298563098e-7,1.4601990693111338e-6,-0.13187536345744658,0.5524585622371722,-2.8963431571589823e-7,-3.027444547764181e-6,2.3533475896068277e-6,SCGLU6,Neurons,"Excitatory neurons, spinal cord",140,Glutamate (VGLUT2),Dorsal horn lamina 1-2,Spinal cord,113,Neurons,CNS neurons,Spinal cord neurons,Spinal cord excitatory neurons,"correstpond to Glut8,9 in C1 data. Npff is Glut9 and Nmur2 is Glut8.",Spinal cord excitatory neurons,15,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,SCGLU6,Neurons,FALSE
tabula_muris.sem_mean,Kidney.leukocyte,-2.658279940399131e-7,1.9431675930684813e-6,-0.13680137265985415,0.5544061006899154,-2.198326347220328e-7,-4.20966678688043e-6,3.0264417044302496e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kidney.leukocyte,dummy_category,FALSE
mousebrain_all.sem_mean,HYPEP5,-1.664530060203942e-7,1.0821361842185857e-6,-0.1538189078674885,0.561123737529614,-1.2354644196502606e-7,-2.327266956955044e-6,1.938896110379243e-6,HYPEP5,Neurons,"Vasopressin-producing cells, hypothalamus",173,Glutamate (VGLUT2),Paraventricular hypothalamic nucleus magnocellular division and/or Diagonal band nucleus,Hypothalamus,94,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Peptidergic neurons,nan,Peptidergic neurons,17,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,HYPEP5,Neurons,FALSE
tabula_muris.sem_mean,Lung.T_cell,-2.203952557930154e-7,1.3390734107839012e-6,-0.16458788145453113,0.5653658148375549,-1.4838212294850194e-7,-2.819274694099512e-6,2.4357986488665907e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lung.T_cell,dummy_category,FALSE
mousebrain_all.sem_mean,HBGLU1,-2.454545706764476e-7,1.4237459957696697e-6,-0.17240053450949733,0.5684386740035509,-3.0929576414211385e-7,-3.185540284793334e-6,2.245164912515223e-6,HBGLU1,Neurons,"Excitatory neurons, hindbrain",52,"Glutamate (VGLUT2, VGLUT3)",Inferior olivary complex,Medulla,136,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,HBGLU1,Neurons,FALSE
mousebrain_all.sem_mean,TEGLU23,-1.5223865579265664e-7,8.437509598608742e-7,-0.18043079419756658,0.5715928096248626,-2.1383358321382672e-7,-1.6253452451072746e-6,1.534588844115281e-6,TEGLU23,Neurons,"Excitatory neurons, hippocampus CA3",484,"Glutamate (VGLUT1), Nitric oxide",CA3,Hippocampus,24,Neurons,CNS neurons,Telencephalon projecting neurons,Telencephalon projecting excitatory neurons,nan,Telencephalon projecting excitatory neurons,24,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,TEGLU23,Neurons,FALSE
tabula_muris.sem_mean,Brain_Non.Myeloid.brain_pericyte,-1.9937635183117522e-7,1.0285555284065168e-6,-0.19384111632753342,0.5768498543092604,-1.7801542081064043e-7,-2.132783688258171e-6,1.7719280894353775e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brain_Non.Myeloid.brain_pericyte,dummy_category,FALSE
tabula_muris.sem_mean,Skin.stem_cell_of_epidermis,-2.056013865084894e-7,1.037940794266098e-6,-0.1980858519525336,0.578511052992301,-3.2155075915193486e-7,-2.234008835159394e-6,1.6705789542157404e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skin.stem_cell_of_epidermis,dummy_category,FALSE
